194,460,26,29
186,456,26,29
186,456,26,29
182,452,26,29
182,452,26,29
178,452,26,29
166,452,26,29
166,452,26,29
158,452,26,29
158,448,26,29
162,444,26,29
158,440,26,29
158,444,26,29
150,444,26,29
146,440,26,29
146,436,26,29
138,428,26,29
130,428,26,29
126,424,26,29
114,428,26,29
114,432,26,29
114,428,26,29
114,424,26,29
106,428,26,29
106,420,26,29
106,416,26,29
106,408,26,29
106,408,26,29
110,396,26,29
110,392,26,29
114,384,26,29
122,368,26,29
126,364,26,29
130,356,26,29
130,352,26,29
130,352,26,29
122,348,26,29
118,344,26,29
110,344,26,29
106,348,26,29
106,356,26,29
102,356,26,29
94,356,26,29
94,356,26,29
94,352,26,29
94,348,26,29
90,352,26,29
86,348,26,29
90,344,26,29
90,344,26,29
90,348,26,29
86,348,26,29
86,356,26,29
82,360,26,29
82,360,26,29
82,364,26,29
82,364,26,29
82,364,26,29
82,364,26,29
82,368,26,29
82,364,26,29
82,364,26,29
82,364,26,29
82,364,26,29
82,364,26,29
82,364,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,372,26,29
82,376,26,29
82,376,26,29
82,376,26,29
